driver_name,total_mentions,positive_comments,negative_comments,neutral_comments,avg_comment_sentiment,avg_comment_likes,avg_video_like_view_ratio,avg_video_comment_view_ratio,positive_ratio
Piastri,137,47,52,38,-0.01871021897810219,10.693430656934307,0.02232913390315214,0.0012793901003257436,0.34306569343065696
Verstappen,80,33,10,37,0.19204000000000002,1.6,0.021421268455865953,0.0011433527299644862,0.4125
Norris,80,45,12,23,0.26210374999999997,2.875,0.023122006345803962,0.001218659760845757,0.5625
Stroll,58,17,17,24,0.0048379310344827675,0.22413793103448276,0.022667775775077482,0.0015781791386954977,0.29310344827586204
Leclerc,56,10,22,24,-0.08976785714285715,11.678571428571429,0.021089161234661112,0.0010858211683588764,0.17857142857142858
Hamilton,50,21,13,16,0.132298,11.96,0.02265846830761571,0.0009894264879244993,0.42
Alonso,25,8,6,11,0.05572400000000001,16.08,0.020978888177973748,0.0009222960762585367,0.32
Tsunoda,20,7,2,11,0.11003,0.2,0.02312447727030624,0.0011201798921212087,0.35
Russell,18,2,4,12,0.006877777777777788,2.888888888888889,0.02714820705692334,0.0005428394473653664,0.1111111111111111
Gasly,17,5,5,7,0.060776470588235286,8.941176470588236,0.024081260390364952,0.00147007701120528,0.29411764705882354
Ocon,7,0,3,4,-0.07857142857142858,0.0,0.023550254904019876,0.0024004193252214873,0.0
Sainz,6,1,3,2,-0.1422,24.0,0.02410857187509737,0.0017349459314095952,0.16666666666666666
Hulkenberg,5,2,1,2,0.15954,0.6,0.023449222684248143,0.001325950684744209,0.4
Perez,3,2,1,0,0.23299999999999998,1.3333333333333333,0.020392785098405693,0.0013026145041723236,0.6666666666666666
Bottas,1,1,0,0,0.2732,1.0,0.018799323461554378,0.0008673402727071605,1.0
Magnussen,1,1,0,0,0.765,5.0,0.03739719259496062,0.0003894329971809701,1.0
Zhou,1,1,0,0,0.8172,0.0,0.023718808524556136,0.00037267022144787883,1.0
