videoId,title,race_year,race_name_raw,viewCount,likeCount,commentCount,like_view_ratio,comment_view_ratio
Jt3gVEtfy1c,ALL Race Highlights From The 2025 F3 Season!,2025.0,,22430,968,45,0.043156486847971465,0.0020062416406598305
2RKcJhnhtlU,Audi Unveil Their 2026 Concept Livery! 😍,2026.0,,2866141,62872,1049,0.021936115494666873,0.00036599734625756376
PU91NPBdtDc,The 2025 Sao Paulo Grand Prix But Make It F1 Kids,2025.0,Sao Paulo Grand Prix,49428,1628,0,0.032936796957190255,0.0
Cb9Wo7sPGVg,The Moment Max's Pit Lane To Podium Journey Was Completed 🤯,,,601380,11288,133,0.01877016196082344,0.00022115800325917057
1E1-_beyrNQ,The Cooldown Room React To Big Moments In Brazil 🗣️,,,1363521,21808,216,0.015993886416124137,0.00015841340177379006
pcmZp9kMVDg,Radio Rewind | 2025 Sao Paulo Grand Prix | Paramount+,2025.0,Sao Paulo Grand Prix,488223,11836,1087,0.024243020095325293,0.002226441605577779
cqJBQ7bx1L4,Emotions Pour Out For Gabi & His Family 🥹💚,,,635951,15084,237,0.023718808524556136,0.00037267022144787883
-o7fAgMnOZA,Drivers React To The Race | 2025 Sao Paulo Grand Prix,2025.0,Sao Paulo Grand Prix,719009,17659,1815,0.024560193266009188,0.00252430776248976
bijI5emoGgg,Lando Wins In Brazil! 🇧🇷,,,246918,7330,178,0.02968596862116168,0.0007208870961209795
MK83clSv6-k,Race Highlights | 2025 Sao Paulo Grand Prix,2025.0,Sao Paulo Grand Prix,5675493,113032,6145,0.019915802909104108,0.0010827253244784197
oavaWsg56d4,CHAOS At The Race Restart! 😱,,,651437,12348,538,0.01895501790656656,0.0008258665074289609
Sy8Sa9_2yXw,Chaos During F1 Drivers' Parade! 🤣,,,1287959,46405,569,0.036029873621753486,0.0004417842493433409
WgBuHqqE7Mw,George Switched Sides 😂,,,2383347,48453,428,0.02032981349337717,0.00017957938982447792
VJuKqOQBDhs,LIVE: Crazy Sao Paulo Grand Prix Drivers' Parade!,,Crazy Sao Paulo Grand Prix,1149924,35188,897,0.03060028314914725,0.000780051551232951
eeS1_6UF1CI,Ollie Bearman wins October Overtake of the Month! 🌟,,,172045,6434,67,0.03739719259496062,0.0003894329971809701
4Z3y6mYDJgM,Lando Norris' Pole Lap | 2025 Sao Paulo Grand Prix | Pirelli,2025.0,Sao Paulo Grand Prix,155624,6332,445,0.04068781164858891,0.0028594561250192773
683MegAx5F4,Drivers React To Qualifying | 2025 Sao Paulo Grand Prix,2025.0,Sao Paulo Grand Prix,442903,10095,1022,0.02279280113252789,0.0023075029972702828
MYpwaMHYDfw,Qualifying Highlights | 2025 Sao Paulo Grand Prix,2025.0,Sao Paulo Grand Prix,3069153,57698,2662,0.018799323461554378,0.0008673402727071605
0JIQVXsSzps,Charles & Lewis Learn Samba! 🕺🇧🇷,,,988392,16329,159,0.016520773134545808,0.00016086734817764611
ZYwWyNnLKa4,A Scary Moment For Gabi 😣,,,524366,15118,306,0.028831007349828172,0.0005835618632787022
55_LalL3E6Y,Sprint Highlights | 2025 Sao Paulo Grand Prix,2025.0,Sao Paulo Grand Prix,4012046,71490,2071,0.01781883856765351,0.0005161954773200507
-WoFoUPDCow,Piastri Crashes Out! 😱,,,301868,7419,330,0.02457696741622166,0.0010931930512674414
-dCLabtcZBQ,Sprint Qualifying Highlights | 2025 Sao Paulo Grand Prix,2025.0,Sao Paulo Grand Prix,3738133,66654,1779,0.017830826244010046,0.00047590602046529646
lWY2naac5f4,Pierre's Up Next... 💍👀,,,233951,6563,48,0.028052882868634884,0.0002051711683215716
iz4TxOSy7Rs,Who Would The Drivers Back To Save A Game Winning Penalty? 😅,,,171125,4945,23,0.028897005113221328,0.0001344046749452155
